ctl,sh,Cell_line,Experiment,Name,Best,Info ,Alternative_name
SLX.12469.A001,SLX.12469.A002,Mutu,Ribo,Mutu_1,Original,Ok,Mutu_1
SLX.12469.A001,SLX.12469.A003,Mutu,Ribo,Mutu_2,Original,Ok,Mutu_2
SLX.12469.A004,SLX.12469.A005,Mutu,Ribo,Mutu_3,Original,Ok,Mutu_3
SLX.12469.A004,SLX.12469.A006,Mutu,Ribo,Mutu_4,Original,Ok,Mutu_4
SLX.12465.A001,SLX.12465.A002,Mutu,RNA,Mutu_1,Original,Ok,Mutu_1
SLX.12465.A001,SLX.12465.A003,Mutu,RNA,Mutu_2,Original,Ok,Mutu_2
SLX.12465.A004,SLX.12465.A005,Mutu,RNA,Mutu_3,Original,Ok,Mutu_3
SLX.12465.A004,SLX.12465.A006,Mutu,RNA,Mutu_4,Original,Ok,Mutu_4
SLX.14296.A004,SLX.14296.A005,Mutu,RNA,Mutu_5,Extra,No_Ribo,Mutu_5
SLX.14296.A004,SLX.14296.A006,Mutu,RNA,Mutu_6,Extra,No_Ribo,Mutu_6
SLX.12470.A004,SLX.12470.A005,U2932,Ribo,U2932_1,Original,Ok,U2932_1
SLX.12465.A010,SLX.12465.A011,U2932,RNA,U2932_1,Original,Ok,U2932_1
SLX.12470.A004,SLX.12470.A006,U2932,Ribo,U2932_2,Original,Ok,U2932_2
SLX.12465.A010,SLX.12465.A012,U2932,RNA,U2932_2,Original,Ok,U2932_2
SLX.13454.A001,SLX.13454.A002,U2932,Ribo,U2932_3,Original,Ok,U2932_3
SLX.12465.A007,SLX.12465.A008,U2932,RNA,U2932_9,Extra,No_Ribo,U2932_3
SLX.12465.A007,SLX.12465.A009,U2932,RNA,U2932_10,Extra,No_Ribo,U2932_4
SLX.13199.A008,SLX.13199.A009,U2932,RNA,U2932_3,Original,WT_signature,None
SLX.13454.A001,SLX.13454.A003,U2932,Ribo,U2932_4,Original,WT_signature,None
SLX.13199.A008,SLX.13199.A010,U2932,RNA,U2932_4,Original,Ok,U2932_5
SLX.14241.A001,SLX.14241.A002,U2932,Ribo,U2932_5,Original,WT_signature,None
SLX.13199.A005,SLX.13199.A006,U2932,RNA,U2932_5,Original,WT_signature,None
SLX.14241.A001,SLX.14241.A003,U2932,Ribo,U2932_6,Original,WT_signature,None
SLX.13199.A005,SLX.13199.A007,U2932,RNA,U2932_6,Original,WT_signature,None
SLX.14293.A001,SLX.14293.A003,U2932,Ribo,U2932_7,Original,Ok,U2932_4
SLX.14296.A001,SLX.14296.A002,U2932,RNA,U2932_7,Original,Ok,U2932_4
SLX.14293.A001,SLX.14293.A002,U2932,Ribo,U2932_8,Original,Ok,U2932_5
SLX.14296.A001,SLX.14296.A003,U2932,RNA,U2932_8,Original,Ok,U2932_5
SLX.13201.A001,SLX.13201.A002,BL41,RNA,BL41_1,Original,Ok,BL41_1
SLX.13201.A001,SLX.13201.A003,BL41,RNA,BL41_2,Original,Ok,BL41_2
SLX.13201.A005,SLX.13201.A006,BL41,RNA,BL41_3,Original,Ok,BL41_3
SLX.13201.A005,SLX.13201.A007,BL41,RNA,BL41_4,Original,Ok,BL41_4