Sample,SampleALT,Experiment,Batch,Condition,Replicate,Cell_line,Treatment,Time,Treatment2,SLX,Corresponding,Merged,WT_sign,DDX3Xexpr
SLX.12465.A001,SLX-12465.A001,RNA,1,Mutu_ctl_24,1,Mutu,ctl,24,ctl,SLX.12465,SLX.12469.A001,1,FALSE,NA
SLX.12469.A001,SLX-12469.A001,Ribo,1,Mutu_ctl_24,1,Mutu,ctl,24,ctl,SLX.12469,SLX.12465.A001,1,FALSE,NA
SLX.13199.A001,SLX-13199.A001,RNA,2,Mutu_ctl_24,2,Mutu,ctl,24,ctl,SLX.13199,SLX.13460.A005,1,FALSE,NA
SLX.13460.A005,SLX-13460.A005,Ribo,2,Mutu_ctl_24,2,Mutu,ctl,24,ctl,SLX.13460,SLX.13199.A001,1,FALSE,NA
SLX.12465.A004,SLX-12465.A004,RNA,1,Mutu_ctl_48,1,Mutu,ctl,48,ctl,SLX.12465,SLX.12469.A004,1,FALSE,NA
SLX.12469.A004,SLX-12469.A004,Ribo,1,Mutu_ctl_48,1,Mutu,ctl,48,ctl,SLX.12469,SLX.14296.A004,1,FALSE,NA
SLX.13199.A003,SLX-13199.A003,RNA,2,Mutu_ctl_48,2,Mutu,ctl,48,ctl,SLX.13199,SLX.13454.A008,1,FALSE,NA
SLX.13454.A008,SLX-13454.A008,Ribo,2,Mutu_ctl_48,2,Mutu,ctl,48,ctl,SLX.13454,SLX.13199.A003,1,FALSE,NA
SLX.14296.A004,SLX-14296.A004,RNA,2,Mutu_ctl_48,2,Mutu,ctl,48,ctl,SLX.14296,SLX.12469.A004,1,FALSE,NA
SLX.12465.A002,SLX-12465.A002,RNA,1,Mutu_sh1_24,1,Mutu,sh1,24,sh,SLX.12465,SLX.12469.A002,1,FALSE,NA
SLX.12469.A002,SLX-12469.A002,Ribo,1,Mutu_sh1_24,1,Mutu,sh1,24,sh,SLX.12469,SLX.12465.A002,1,FALSE,NA
SLX.12465.A005,SLX-12465.A005,RNA,1,Mutu_sh1_48,1,Mutu,sh1,48,sh,SLX.12465,SLX.12469.A005,1,FALSE,NA
SLX.12469.A005,SLX-12469.A005,Ribo,1,Mutu_sh1_48,1,Mutu,sh1,48,sh,SLX.12469,SLX.12465.A005,1,FALSE,NA
SLX.14296.A005,SLX-14296.A005,RNA,2,Mutu_sh1_48,2,Mutu,sh1,48,sh,SLX.14296,None,1,FALSE,NA
SLX.12465.A003,SLX-12465.A003,RNA,1,Mutu_sh2_24,1,Mutu,sh2,24,sh,SLX.12465,SLX.12469.A003,1,FALSE,NA
SLX.12469.A003,SLX-12469.A003,Ribo,1,Mutu_sh2_24,1,Mutu,sh2,24,sh,SLX.12469,SLX.12465.A003,1,FALSE,NA
SLX.12465.A006,SLX-12465.A006,RNA,1,Mutu_sh2_48,1,Mutu,sh2,48,sh,SLX.12465,SLX.12469.A006,1,FALSE,NA
SLX.12469.A006,SLX-12469.A006,Ribo,1,Mutu_sh2_48,1,Mutu,sh2,48,sh,SLX.12469,SLX.12465.A006,1,FALSE,NA
SLX.14296.A006,SLX-14296.A006,RNA,2,Mutu_sh2_48,2,Mutu,sh2,48,sh,SLX.14296,None,1,FALSE,NA
SLX.12465.A007,SLX-12465.A007,RNA,1,U2932_ctl_24,1,U2932,ctl,24,ctl,SLX.12465,None,1,FALSE,NA
SLX.13199.A005,SLX-13199.A005,RNA,2,U2932_ctl_24,2,U2932,ctl,24,ctl,SLX.13199,SLX.14241.A001,1,TRUE,NA
SLX.14241.A001,SLX-14241.A001,Ribo,2,U2932_ctl_24,2,U2932,ctl,24,ctl,SLX.14241,SLX.13199.A005,1,TRUE,308.8635761411123
SLX.14293.A001,SLX-14293.A001,Ribo,1,U2932_ctl_24,1,U2932,ctl,24,ctl,SLX.14293,SLX.14296.A001,1,FALSE,375.5080335554228
SLX.14296.A001,SLX-14296.A001,RNA,2,U2932_ctl_24,2,U2932,ctl,24,ctl,SLX.14296,SLX.14293.A001,1,FALSE,NA
SLX.12465.A010,SLX-12465.A010,RNA,1,U2932_ctl_48,1,U2932,ctl,48,ctl,SLX.12465,SLX.12470.A004,1,FALSE,NA
SLX.12470.A004,SLX-12470.A004,Ribo,1,U2932_ctl_48,1,U2932,ctl,48,ctl,SLX.12470,SLX.12465.A010,1,FALSE,320.9031765159165
SLX.13199.A008,SLX-13199.A008,RNA,2,U2932_ctl_48,2,U2932,ctl,48,ctl,SLX.13199,SLX.13454.A001,1,TRUE,NA
SLX.13454.A001,SLX-13454.A001,Ribo,2,U2932_ctl_48,2,U2932,ctl,48,ctl,SLX.13454,SLX.13199.A008,1,TRUE,338.1241673745025
SLX.12465.A008,SLX-12465.A008,RNA,1,U2932_sh1_24,1,U2932,sh1,24,sh,SLX.12465,None,1,FALSE,NA
SLX.13199.A006,SLX-13199.A006,RNA,2,U2932_sh1_24,2,U2932,sh1,24,sh,SLX.13199,SLX.14241.A002,1,TRUE,NA
SLX.14241.A002,SLX-14241.A002,Ribo,2,U2932_sh1_24,2,U2932,sh1,24,sh,SLX.14241,SLX.13199.A006,1,TRUE,208.11788046928015
SLX.14293.A002,SLX-14293.A002,Ribo,1,U2932_sh1_24,1,U2932,sh1,24,sh,SLX.14293,SLX.14296.A002,1,FALSE,101.39282411080616
SLX.14296.A002,SLX-14296.A002,RNA,2,U2932_sh1_24,2,U2932,sh1,24,sh,SLX.14296,SLX.14293.A002,1,FALSE,NA
SLX.12465.A011,SLX-12465.A011,RNA,1,U2932_sh1_48,1,U2932,sh1,48,sh,SLX.12465,SLX.12470.A005,1,FALSE,NA
SLX.12470.A005,SLX-12470.A005,Ribo,1,U2932_sh1_48,1,U2932,sh1,48,sh,SLX.12470,SLX.12465.A011,1,FALSE,43.917250519090615
SLX.13199.A009,SLX-13199.A009,RNA,2,U2932_sh1_48,2,U2932,sh1,48,sh,SLX.13199,SLX.13454.A002,1,TRUE,NA
SLX.13454.A002,SLX-13454.A002,Ribo,2,U2932_sh1_48,2,U2932,sh1,48,sh,SLX.13454,SLX.13199.A009,1,FALSE,143.9577296197001
SLX.12465.A009,SLX-12465.A009,RNA,1,U2932_sh2_24,1,U2932,sh2,24,sh,SLX.12465,NA,1,FALSE,NA
SLX.13199.A007,SLX-13199.A007,RNA,2,U2932_sh2_24,2,U2932,sh2,24,sh,SLX.13199,SLX.14241.A003,1,TRUE,NA
SLX.14241.A003,SLX-14241.A003,Ribo,2,U2932_sh2_24,2,U2932,sh2,24,sh,SLX.14241,SLX.13199.A007,1,TRUE,261.6249361275397
SLX.14293.A003,SLX-14293.A003,Ribo,1,U2932_sh2_24,1,U2932,sh2,24,sh,SLX.14293,SLX.14296.A003,1,FALSE,99.29453699773866
SLX.14296.A003,SLX-14296.A003,RNA,2,U2932_sh2_24,2,U2932,sh2,24,sh,SLX.14296,SLX.14293.A003,1,FALSE,NA
SLX.12465.A012,SLX-12465.A012,RNA,1,U2932_sh2_48,1,U2932,sh2,48,sh,SLX.12465,SLX.12470.A006,1,FALSE,NA
SLX.12470.A006,SLX-12470.A006,Ribo,1,U2932_sh2_48,1,U2932,sh2,48,sh,SLX.12470,SLX.12465.A012,1,FALSE,115.79994141771462
SLX.13199.A010,SLX-13199.A010,RNA,2,U2932_sh2_48,2,U2932,sh2,48,sh,SLX.13199,SLX.13454.A003,1,FALSE,NA
SLX.13454.A003,SLX-13454.A003,Ribo,2,U2932_sh2_48,2,U2932,sh2,48,sh,SLX.13454,SLX.13199.A010,1,TRUE,220.82052569441075
